target_desc	target_id
beef, variety meats and by-products, tongue, raw	13339
beef, variety meats and by-products, tongue, cooked, simmered	13340
beef, variety meats and by-products, tripe, raw	13341
beef, sandwich steaks, flaked, chopped, formed and thinly sliced, raw	13342
beef, brisket, flat half, separable lean only, trimmed to 0" fat, choice, cooked, braised	13343
beef, cured, breakfast strips, raw or unheated	13344
beef, cured, breakfast strips, cooked	13345
beef, cured, corned beef, brisket, raw	13346
beef, cured, corned beef, brisket, cooked	13347
beef, cured, corned beef, canned	13348
beef, chuck, under blade pot roast or steak, boneless, separable lean only, trimmed to 0" fat, select, raw	13349
beef, cured, dried	13350
beef, chuck, under blade center steak, boneless, denver cut, separable lean only, trimmed to 0" fat, all grades, cooked, grilled	13351
beef, chuck, under blade center steak, boneless, denver cut, separable lean only, trimmed to 0" fat, choice, cooked, grilled	13352
beef, chuck, under blade center steak, boneless, denver cut, separable lean only, trimmed to 0" fat, select, cooked, grilled	13354
beef, cured, pastrami	13355
beef, chuck, under blade center steak, boneless, denver cut, separable lean only, trimmed to 0" fat, all grades, raw	13356
beef, cured, smoked, chopped beef	13358
beef, chuck, under blade center steak, boneless, denver cut, separable lean only, trimmed to 0" fat, choice, raw	13359
beef, cured, thin-sliced beef	13360
beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0" fat, all grades, cooked	13361
beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0" fat, choice, cooked	13362
beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 0" fat, select, cooked	13363
beef, composite of trimmed retail cuts, separable lean only, trimmed to 0" fat, all grades, cooked	13364
beef, composite of trimmed retail cuts, separable lean only, trimmed to 0" fat, choice, cooked	13365
beef, composite of trimmed retail cuts, separable lean only, trimmed to 0" fat, select, cooked	13366
beef, brisket, whole, separable lean and fat, trimmed to 0" fat, all grades, cooked, braised	13367
beef, brisket, whole, separable lean only, trimmed to 0" fat, all grades, cooked, braised	13368
beef, brisket, flat half, separable lean and fat, trimmed to 0" fat, all grades, cooked, braised	13369
beef, brisket, flat half, separable lean only, trimmed to 0" fat, all grades, cooked, braised	13370
beef, brisket, point half, separable lean and fat, trimmed to 0" fat, all grades, cooked, braised	13371
beef, brisket, point half, separable lean only, trimmed to 0" fat, all grades, cooked, braised	13372
beef, chuck, arm pot roast, separable lean and fat, trimmed to 0" fat, all grades, cooked, braised	13373
beef, chuck, arm pot roast, separable lean and fat, trimmed to 0" fat, select, cooked, braised	13375
beef, chuck, arm pot roast, separable lean only, trimmed to 0" fat, choice, cooked, braised	13377
beef, chuck, arm pot roast, separable lean only, trimmed to 0" fat, select, cooked, braised	13378
beef, chuck, under blade pot roast, boneless, separable lean and fat, trimmed to 0" fat, choice, cooked, braised	13380
beef, chuck, under blade pot roast, boneless, separable lean and fat, trimmed to 0" fat, select, cooked, braised	13381
beef, chuck, blade roast, separable lean only, trimmed to 0" fat, all grades, cooked, braised	13382
beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0" fat, choice, cooked, braised	13383
beef, chuck, under blade pot roast, boneless, separable lean only, trimmed to 0" fat, select, cooked, braised	13384
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 0" fat, choice, cooked, roasted	13386
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 0" fat, select, cooked, roasted	13387
beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0" fat, all grades, cooked, roasted	13388
beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0" fat, choice, cooked, roasted	13389
beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0" fat, select, cooked, roasted	13390
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0" fat, all grades, cooked, broiled	13391
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0" fat, choice, cooked, broiled	13392
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0" fat, select, cooked, broiled	13393
beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0" fat, all grades, cooked, broiled	13394
beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0" fat, choice, cooked, broiled	13395
beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0" fat, select, cooked, broiled	13396
beef, round, bottom round, steak, separable lean and fat, trimmed to 0" fat, all grades, cooked, braised	13398
beef, round, bottom round, roast, separable lean and fat, trimmed to 0" fat, all grades, cooked, roasted	13399
beef, round, bottom round, steak, separable lean and fat, trimmed to 0" fat, choice, cooked, braised	13401
beef, round, bottom round, roast, separable lean and fat, trimmed to 0" fat, choice, cooked, roasted	13402
beef, round, bottom round, steak, separable lean and fat, trimmed to 0" fat, select, cooked, braised	13404
beef, round, bottom round, roast, separable lean and fat, trimmed to 0" fat, select, cooked, roasted	13405
beef, round, bottom round, steak, separable lean only, trimmed to 0" fat, all grades, cooked, braised	13407
beef, round, bottom round, roast, separable lean only, trimmed to 0" fat, all grades, cooked, roasted	13408
beef, round, bottom round, steak, separable lean only, trimmed to 0" fat, choice, cooked, braised	13410
beef, round, bottom round, roast, separable lean only, trimmed to 0" fat, choice, cooked, roasted	13411
beef, round, bottom round, steak, separable lean only, trimmed to 0" fat, select, cooked, braised	13413
beef, round, bottom round roast, separable lean only, trimmed to 0" fat, select, cooked, roasted	13414
beef, round, eye of round, roast, separable lean and fat, trimmed to 0" fat, all grades, cooked, roasted	13415
beef, round, eye of round, roast, separable lean and fat, trimmed to 0" fat, choice, cooked, roasted	13416
beef, round, eye of round, roast, separable lean and fat, trimmed to 0" fat, select, cooked, roasted	13417
beef, round, eye of round, roast, separable lean only, trimmed to 0" fat, all grades, cooked, roasted	13418
beef, round, eye of round, roast, separable lean only, trimmed to 0" fat, choice, cooked, roasted	13419
beef, round, eye of round, roast, separable lean only, trimmed to 0" fat, select, cooked, roasted	13420
beef, round, tip round, roast, separable lean and fat, trimmed to 0" fat, all grades, cooked, roasted	13421
beef, round, tip round, roast, separable lean and fat, trimmed to 0" fat, choice, cooked, roasted	13422
beef, round, tip round, roast, separable lean and fat, trimmed to 0" fat, select, cooked, roasted	13423
beef, round, tip round, roast, separable lean only, trimmed to 0" fat, all grades, cooked, roasted	13424
beef, round, tip round, roast, separable lean only, trimmed to 0" fat, choice, cooked, roasted	13425
beef, round, tip round, roast, separable lean only, trimmed to 0" fat, select, cooked, roasted	13426
beef, round, top round, separable lean and fat, trimmed to 0" fat, all grades, cooked, braised	13428
beef, round, top round, separable lean and fat, trimmed to 0" fat, choice, cooked, braised	13430
beef, round, top round, separable lean and fat, trimmed to 0" fat, select, cooked, braised	13432
beef, round, top round, separable lean only, trimmed to 0" fat, all grades, cooked, braised	13434
beef, round, top round, separable lean only, trimmed to 0" fat, choice, cooked, braised	13436
beef, round, top round, separable lean only, trimmed to 0" fat, select, cooked, braised	13438
beef, tenderloin, steak, separable lean and fat, trimmed to 0" fat, all grades, cooked, broiled	13439
beef, tenderloin, steak, separable lean and fat, trimmed to 0" fat, choice, cooked, broiled	13440
beef, tenderloin, steak, separable lean and fat, trimmed to 0" fat, select, cooked, broiled	13441
beef, tenderloin, steak, separable lean only, trimmed to 0" fat, all grades, cooked, broiled	13442
beef, tenderloin, steak, separable lean only, trimmed to 0" fat, choice, cooked, broiled	13443
beef, tenderloin, steak, separable lean only, trimmed to 0" fat, select, cooked, broiled	13444
beef, short loin, top loin, steak, separable lean and fat, trimmed to 0" fat, all grades, cooked, broiled	13445
beef, short loin, top loin, steak, separable lean and fat, trimmed to 0" fat, choice, cooked, broiled	13446
beef, short loin, top loin, steak, separable lean and fat, trimmed to 0" fat, select, cooked, broiled	13447
beef, short loin, top loin, steak, separable lean only, trimmed to 0" fat, all grades, cooked, broiled	13448
beef, short loin, top loin, steak, separable lean only, trimmed to 0" fat, choice, cooked, broiled	13449
beef, short loin, top loin, steak, separable lean only, trimmed to 0" fat, select, cooked, broiled	13450
beef, top sirloin, steak, separable lean and fat, trimmed to 0" fat, all grades, cooked, broiled	13451
beef, top sirloin, steak, separable lean and fat, trimmed to 0" fat, choice, cooked, broiled	13452
beef, top sirloin, steak, separable lean and fat, trimmed to 0" fat, select, cooked, broiled	13453
beef, top sirloin, steak, separable lean only, trimmed to 0" fat, all grades, cooked, broiled	13454
beef, top sirloin, steak, separable lean only, trimmed to 0" fat, choice, cooked, broiled	13455
beef, top sirloin, steak, separable lean only, trimmed to 0" fat, select, cooked, broiled	13456
beef, short loin, porterhouse steak, separable lean and fat, trimmed to 0" fat, all grades, cooked, broiled	13459
beef, short loin, porterhouse steak, separable lean and fat, trimmed to 0" fat, usda choice, cooked, broiled	13460
beef, short loin, porterhouse steak, separable lean and fat, trimmed to 0" fat, usda select, cooked, broiled	13463
beef, short loin, porterhouse steak, separable lean only, trimmed to 0" fat, all grades, cooked, broiled	13466
beef, short loin, porterhouse steak, separable lean only, trimmed to 0" fat, choice, cooked, broiled	13467
beef, short loin, porterhouse steak, separable lean only, trimmed to 0" fat, select, cooked, broiled	13470
beef, short loin, t-bone steak, separable lean and fat, trimmed to 0" fat, all grades, cooked, broiled	13473
beef, short loin, t-bone steak, separable lean and fat, trimmed to 0" fat, usda choice, cooked, broiled	13474
beef, short loin, t-bone steak, separable lean and fat, trimmed to 0" fat, usda select, cooked, broiled	13477
beef, short loin, t-bone steak, separable lean only, trimmed to 1/4" fat, all grades, cooked, broiled	13479
beef, short loin, t-bone steak, separable lean only, trimmed to 0" fat, all grades, cooked, broiled	13480
beef, short loin, t-bone steak, separable lean only, trimmed to 0" fat, choice, cooked, broiled	13481
beef, short loin, t-bone steak, separable lean only, trimmed to 0" fat, select, cooked, broiled	13484
beef, brisket, flat half, separable lean only, trimmed to 0" fat, select, cooked, braised	13485
beef, round, tip round, roast, separable lean and fat, trimmed to 0" fat, all grades, raw	13486
beef, round, tip round, roast, separable lean and fat, trimmed to 0" fat, choice, raw	13487
beef, round, tip round, roast, separable lean and fat, trimmed to 0" fat, select, raw	13488
beef, rib, eye, small end (ribs 10- 12) separable lean only, trimmed to 0" fat, select, cooked, broiled	13490
beef, round, top round, steak, separable lean only, trimmed to 0" fat, all grades, cooked, broiled	13491
beef, round, top round, steak, separable lean only, trimmed to 0" fat, choice, cooked, broiled	13492
beef, round, top round, steak, separable lean only, trimmed to 0" fat, select, cooked, broiled	13493
beef, ground, 70% lean meat / 30% fat, crumbles, cooked, pan-browned	13494
beef, ground, 70% lean meat / 30% fat, loaf, cooked, baked	13495
beef, ground, 70% lean meat / 30% fat, patty cooked, pan-broiled	13496
beef, ground, 70% lean meat / 30% fat, patty, cooked, broiled	13497
beef, ground, 70% lean meat / 30% fat, raw	13498
beef, chuck, under blade center steak, boneless, denver cut, separable lean only, trimmed to 0" fat, select, raw	13499
beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0" fat, all grades, cooked, grilled	13500
beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0" fat, choice, cooked, grilled	13501
beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0" fat, select, cooked, grilled	13502
beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0" fat, all grades, raw	13519
beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0" fat, choice, raw	13520
beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0" fat, select, raw	13523
beef, brisket, flat half, boneless separable lean only, trimmed to 0" fat, all grades, raw	13595
beef, brisket, flat half, boneless, separable lean only, trimmed to 0" fat, choice, raw	13596
beef, brisket, flat half, boneless, separable lean only, trimmed to 0" fat, select, raw	13597
beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0" fat, all grades, cooked, grilled	13598
beef, shoulder pot roast or steak, boneless, separable lean only, trimmed to 0" fat, all grades, raw	13647
beef, shoulder pot roast or steak, boneless, separable lean only, trimmed to 0" fat, choice, raw	13648
beef, shoulder pot roast or steak, boneless, separable lean only, trimmed to 0" fat, select, raw	13649
beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0" fat, choice, cooked, grilled	13650
beef, chuck eye roast, boneless, america's beef roast, separable lean and fat, trimmed to 0" fat, all grades, raw	13786
beef, chuck eye roast, boneless, america's beef roast, separable lean and fat, trimmed to 0" fat, choice, raw	13788
beef, chuck eye roast, boneless, america's beef roast, separable lean and fat, trimmed to 0" fat, select, raw	13791
beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8" fat, all grades, raw	13795
beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8" fat, all grades, cooked	13796
beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8" fat, choice, raw	13797
beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8" fat, choice, cooked	13798
beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8" fat, select, raw	13799
beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8" fat, select, cooked	13800
beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8" fat, prime, raw	13801
beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8" fat, prime, cooked	13802
beef, brisket, whole, separable lean and fat, trimmed to 1/8" fat, all grades, raw	13803
beef, brisket, whole, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, braised	13804
beef, brisket, flat half, separable lean and fat, trimmed to 1/8" fat, all grades, raw	13805
beef, brisket, flat half, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, braised	13806
beef, brisket, point half, separable lean and fat, trimmed to 1/8" fat, all grades, raw	13807
beef, brisket, point half, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, braised	13808
beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8" fat, all grades, raw	13809
beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, braised	13810
beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8" fat, choice, raw	13811
beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8" fat, choice, cooked, braised	13812
beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8" fat, select, raw	13813
beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8" fat, select, cooked, braised	13814
beef, chuck, blade roast, separable lean and fat, trimmed to 1/8" fat, all grades, raw	13815
beef, chuck, blade roast, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, braised	13816
beef, chuck, blade roast, separable lean and fat, trimmed to 1/8" fat, choice, raw	13817
beef, chuck, blade roast, separable lean and fat, trimmed to 1/8" fat, choice, cooked, braised	13818
beef, chuck, blade roast, separable lean and fat, trimmed to 1/8" fat, select, raw	13819
beef, chuck, blade roast, separable lean and fat, trimmed to 1/8" fat, select, cooked, braised	13820
beef, chuck eye roast, boneless, america's beef roast, separable lean only, trimmed to 0" fat, all grades, cooked, roasted	13821
beef, chuck eye roast, boneless, america's beef roast, separable lean only, trimmed to 0" fat, choice, cooked, roasted	13822
beef, chuck eye roast, boneless, america's beef roast, separable lean only, trimmed to 0" fat, select, cooked, roasted	13823
beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8" fat, all grades, raw	13824
beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8" fat, all grades, cooked, broiled	13825
beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8" fat, all grades, cooked, roasted	13826
beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8" fat, choice, raw	13827
beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8" fat, choice, cooked, broiled	13828
beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8" fat, choice, cooked, roasted	13829
beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8" fat, select, raw	13830
beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8" fat, select, cooked, broiled	13831
beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8" fat, select, cooked, roasted	13832
beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8" fat, prime, raw	13833
beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8" fat, prime, cooked, broiled	13834
beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8" fat, prime, cooked, roasted	13835
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, all grades, raw	13838
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, all grades, cooked, broiled	13839
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, all grades, cooked, roasted	13840
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, choice, raw	13841
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, choice, cooked, broiled	13842
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, choice, cooked, roasted	13843
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, select, raw	13844
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, select, cooked, broiled	13845
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, select, cooked, roasted	13846
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, prime, raw	13847
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, prime, cooked, broiled	13848
beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8" fat, prime, cooked, roasted	13849
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8" fat, all grades, raw	13850
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8" fat, all grades, cooked, broiled	13851
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8" fat, all grades, cooked, roasted	13852
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8" fat, choice, raw	13853
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8" fat, choice, cooked, broiled	13854
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8" fat, choice, cooked, roasted	13855
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8" fat, select, raw	13856
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8" fat, select, cooked, broiled	13857
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8" fat, select, cooked, roasted	13858
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8" fat, prime, raw	13859
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8" fat, prime, cooked, broiled	13860
beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8" fat, prime, cooked, roasted	13861
beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0" fat, select, cooked, grilled	13862
beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0" fat, all grades, raw	13863
beef, round, full cut, separable lean and fat, trimmed to 1/8" fat, choice, raw	13864
beef, round, full cut, separable lean and fat, trimmed to 1/8" fat, choice, cooked, broiled	13865
beef, round, full cut, separable lean and fat, trimmed to 1/8" fat, select, raw	13866
beef, round, full cut, separable lean and fat, trimmed to 1/8" fat, select, cooked, broiled	13867
beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8" fat, all grades, raw	13868
beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, braised	13869
beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, roasted	13870
beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8" fat, choice, raw	13871
beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8" fat, choice, cooked, braised	13872
beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8" fat, choice, cooked, roasted	13873
beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8" fat, select, raw	13874
beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8" fat, select, cooked, braised	13875
beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8" fat, select, cooked, roasted	13876
beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8" fat, all grades, raw	13877
beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, roasted	13878
beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8" fat, choice, raw	13879
beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8" fat, choice, cooked, roasted	13880
beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8" fat, select, raw	13881
beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8" fat, select, cooked, roasted	13882
beef, round, tip round, separable lean and fat, trimmed to 1/8" fat, all grades, raw	13883
beef, round, tip round, roast, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, roasted	13884
beef, round, tip round, separable lean and fat, trimmed to 1/8" fat, choice, raw	13885
beef, round, tip round, roast, separable lean and fat, trimmed to 1/8" fat, choice, cooked, roasted	13886
beef, round, tip round, separable lean and fat, trimmed to 1/8" fat, select, raw	13887
beef, round, tip round, roast, separable lean and fat, trimmed to 1/8" fat, select, cooked, roasted	13888
beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0" fat, choice, raw	13889
beef, round, top round, separable lean only, trimmed to 1/8" fat, choice, cooked, pan-fried	13890
beef, round, top round, steak, separable lean and fat, trimmed to 1/8" fat, all grades, raw	13891
beef, round, top round, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, braised	13892
beef, round, top round steak, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, broiled	13893
beef, round, top round, steak, separable lean and fat, trimmed to 1/8" fat, choice, raw	13894
beef, round, top round, separable lean and fat, trimmed to 1/8" fat, choice, cooked, braised	13895
beef, round, top round, steak, separable lean and fat, trimmed to 1/8" fat, choice, cooked, broiled	13896
beef, round, top round, separable lean and fat, trimmed to 1/8" fat, choice, cooked, pan-fried	13897
beef, round, top round, steak, separable lean and fat, trimmed to 1/8" fat, select, raw	13898
beef, round, top round, separable lean and fat, trimmed to 1/8" fat, select, cooked, braised	13899
beef, round, top round, steak, separable lean and fat, trimmed to 1/8" fat, select, cooked, broiled	13900
beef, round, top round, separable lean and fat, trimmed to 1/8" fat, prime, raw	13901
beef, round, top round, steak, separable lean and fat, trimmed to 1/8" fat, prime, cooked, broiled	13902
beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0" fat, select, raw	13903
beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0" fat, all grades, raw	13904
beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8" fat, choice, raw	13905
beef, short loin, porterhouse steak, separable lean and fat, trimmed to 1/8" fat, choice, cooked, broiled	13906
beef, short loin, t-bone steak, separable lean and fat, trimmed to 1/8" fat, choice, raw	13907
beef, short loin, t-bone steak, separable lean and fat, trimmed to 1/8" fat, choice, cooked, broiled	13908
beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8" fat, all grades, raw	13909
beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, broiled	13910
beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8" fat, choice, raw	13911
beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8" fat, choice, cooked, broiled	13912
beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8" fat, select, raw	13913
beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8" fat, select, cooked, broiled	13914
beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8" fat, prime, raw	13915
beef, short loin, top loin, separable lean and fat, trimmed to 1/8" fat, prime, cooked, broiled	13916
beef, tenderloin, steak, separable lean and fat, trimmed to 1/8" fat, all grades, raw	13917
beef, tenderloin, steak, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, broiled	13918
beef, tenderloin, roast, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, roasted	13919
beef, tenderloin, steak, separable lean and fat, trimmed to 1/8" fat, choice, raw	13920
beef, tenderloin, steak, separable lean and fat, trimmed to 1/8" fat, choice, cooked, broiled	13921
beef, tenderloin, roast, separable lean and fat, trimmed to 1/8" fat, choice, cooked, roasted	13922
beef, tenderloin, steak, separable lean and fat, trimmed to 1/8" fat, select, raw	13923
beef, tenderloin, steak, separable lean and fat, trimmed to 1/8" fat, select, cooked, broiled	13924
beef, tenderloin, roast, separable lean and fat, trimmed to 1/8" fat, select, cooked, roasted	13925
beef, tenderloin, separable lean and fat, trimmed to 1/8" fat, prime, raw	13926
beef, tenderloin, steak, separable lean and fat, trimmed to 1/8" fat, prime, cooked, broiled	13927
beef, tenderloin, roast, separable lean and fat, trimmed to 1/8" fat, prime, cooked, roasted	13928
beef, top sirloin, steak, separable lean and fat, trimmed to 1/8" fat, all grades, raw	13929
beef, top sirloin, steak, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, broiled	13930
beef, top sirloin, steak, separable lean and fat, trimmed to 1/8" fat, choice, raw	13931
beef, top sirloin, steak, separable lean and fat, trimmed to 1/8" fat, choice, cooked, broiled	13932
beef, top sirloin, steak, separable lean and fat, trimmed to 1/8" fat, choice, cooked, pan-fried	13933
beef, top sirloin, steak, separable lean and fat, trimmed to 1/8" fat, select, raw	13934
beef, top sirloin, steak, separable lean and fat, trimmed to 1/8" fat, select, cooked, broiled	13935
beef, chuck, clod roast, separable lean only, trimmed to 0" fat, choice, cooked, roasted	13937
beef, chuck, clod roast, separable lean only, trimmed to 0" fat, select, cooked, roasted	13940
beef, shoulder steak, boneless, separable lean only, trimmed to 0" fat, choice, cooked, grilled	13943
beef, shoulder steak, boneless, separable lean only, trimmed to 0" fat, select, cooked, grilled	13946
beef, flank, steak, separable lean and fat, trimmed to 0" fat, all grades, cooked, broiled	13948
beef, flank, steak, separable lean and fat, trimmed to 0" fat, select, cooked, broiled	13949
beef, brisket, flat half, separable lean and fat, trimmed to 0" fat, select, cooked, braised	13950
beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0" fat, select, cooked, broiled	13951
beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0" fat, all grades, cooked, broiled	13952
beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0" fat, all grades, cooked, roasted	13953
beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0" fat, all grades, raw	13954
beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0" fat, choice, cooked, roasted	13955
beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0" fat, choice, raw	13956
beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0" fat, select, cooked, roasted	13957
beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0" fat, select, raw	13958
beef, round, top round, steak, separable lean and fat, trimmed to 0" fat, all grades, cooked, broiled	13959
beef, chuck, mock tender steak, separable lean only, trimmed to 0" fat, choice, cooked, broiled	13961
beef, chuck, mock tender steak, separable lean only, trimmed to 0" fat, select, cooked, broiled	13963
beef, chuck, top blade, separable lean only, trimmed to 0" fat, choice, cooked, broiled	13965
beef, chuck, top blade, separable lean only, trimmed to 0" fat, select, cooked, broiled	13967
beef, round, top round, steak, separable lean and fat, trimmed to 0" fat, choice, cooked, broiled	13968
beef, round, top round, steak, separable lean and fat, trimmed to 0" fat, select, cooked, broiled	13969
beef, flank, steak, separable lean and fat, trimmed to 0" fat, all grades, raw	13970
beef, flank, steak, separable lean and fat, trimmed to 0" fat, select, raw	13971
beef, chuck eye roast, boneless, america's beef roast, separable lean only, trimmed to 0" fat, all grades, raw	13972
beef, chuck eye roast, boneless, america's beef roast, separable lean only, trimmed to 0" fat, choice, raw	13973
beef, chuck eye roast, boneless, america's beef roast, separable lean only, trimmed to 0" fat, select, raw	13974
beef, brisket, flat half, boneless, separable lean and fat, trimmed to 0" fat, choice, raw	13975
beef, plate, inside skirt steak, separable lean only, trimmed to 1/4" fat, all grades, raw	13976
beef, plate, inside skirt steak, separable lean only, trimmed to 0" fat, all grades, cooked, broiled	13977
